id	reason
1	"I think laws are in place for a reason, and using paper that way is wasteful."
2	They did things they I thought were wrong.  They were hypocrites.  They said one thing and did another.
3	"I TRY TO DO THE RIGHT THING. I AM NOT PERFECT, BUT I TRY."
4	Because of their actions.
5	"If they took part in the conversation, they should have followed the convention established to be correct"
6	Based on instinct.  Some actions change people's opinions.
7	"I don't think any of these things are that big of a deal. None of them alone make me able to judge a person as honest, trustworthy, likable, etc. "
8	i just went with my gut instinct after i read the passage above and answered the questions accordingly.
9	i guess thats th way i read. its very hard to tell apart letters in cursive.
10	"I went with my gut feeling and tried to determine how big of a deal it was with what they ended up doing, or not doing. How big of a moral issue it was came into play with how I viewed their character. "
11	"I based their trustworthiness and other various aspects of their character based on the information given and also on the fact that I think that most people are trustworthy and honest. The examples given were what I consider small white lies, and someone lying or being a hypocrite about something as insignificant as the examples doesn't warrant me to not like them nor does it make them untrustworthy either. "
12	All of them did exactly what they said they believed it was morally wrong to do.
13	They all flat out lied. Their actions probably wouldn't be seen as bad without the lies and hypocrisy preceding the act. 
14	I ev aluated them based off of my own personal morality. 
15	My sense of something being morally wrong depends on others being harmed by the action.
16	because i am not quick to judge others
17	its just the my understanding
18	they weren't bad...they were alright..
19	I evaluated the characters the way I did because although I don't appreciate some of their actions I didn't feel that it was a question of morality.  However when it is something illegal I do think that signifies at least to some degree an immoral act. 
20	I went with my feelings of the issue that was mentioned.
21	"it was the hypocrisy rather than their actions which was indicative of the type of person they are-- ie, negative"
22	"Depending on how bad what they did was, I rated them based on that."
23	I found it less problematic for them to engage in behaviors that I do not consider morally wrong.
24	"Just because someone is a hypocrite in certain situations, doesn't mean they are a bad person. "
25	I BASED MY DECISION ON WHAT I WOULD DO IN THE SITUATION
26	I sometimes did those thing also but that does not mean I am a bad person.
27	just because they were going against what they had just discussed does not make them hypocritical because the text does not say what their opinion of it was- just that it was discussed
28	I evaluated by what their actions are after what they claimed. They all lied.
29	I evaluated them on hypocrisy only.
30	It seemed they were willing to talk about other peoples bad habits and yet afterward they act that very same why. 
31	Well nothing that any of them really disturbed me much in anyway but they did appear to at least be hypocritical why is why i rated the hypocrisy the most severely. I did not rate the other questions as critically because I was only presented with one instance per person so for the most part I was not sure as to how severely to rate them.
32	I evaluated based on what I would do if that happened to me.
33	I based it on my won personal feeling and my experience and knowledge of the topics.
34	Because they were all being hypocrites
35	Most people in those situations would most likely act in similar ways. I do not consider any of these particularly strong moral issues. 
36	"I evaluated the characters because if they say something, then it is wrong to go back on what they preach"
37	"I thought about them as though they would be people I could or might know, and made a decision on how I would react to the."
38	I thought about how bad what they did was and how likely it was that they didn't mean to be hypocritacal.
39	"I weighed the severity of the ""Bad"" actions that each character did. The one trying to not go to jury duty was the most severe, so I didn't him/her them the most."
40	I think that most of them were very hypocritical in saying one thing and doing another.
41	I based them on how hypocritical I thought they were or how bad I felt their actions were. 
42	"Because they alll did the thing they said they didn't do. I didn't rate them too harshly though, because we don't know the reasons why they did those things. For example, the one who printed single-sided may have had no choice for a school assignment."
43	there is a right an wrong for everything. simple deduction.
