id	reason
1	I don't judge them too harshly based on one or two incidents that I don't see as terrible.
2	I truly felt that they were not acting in the manner of which they preached. They certainly came off as fake liars.
3	"Just based on the severity. Kevin was a hypocrite in the fact that he tried to get out of jury duty...I'm sure everybody tries that, not too bad. Becky on the other hand ignores her moms calls (hypocrite again) which is more of a wrong thing in my eyes. But, I don't know their relationship either, I'm just an outsider."
4	By their words and actions
5	They committed borderline selfish acts but nothing over the top so i attempted to rate them towards the middle. These small moments don't make up who they are as people
6	If they did what they preached or not was important.
7	I don't think that doing something hypocritical always equates with being a bad person or being not trustworthy.
8	They were not truthful or trustworthy people. Some of the things they did were not as severe as others but we're wrong nonetheless.
9	I read the scenario and then decided based on the questions.  
10	I based them on what I believe is right. I follow The Bible because God wants us to succeed in being good.  
11	The things they lied about didn't seem like a big deal but there was little information to make judgements on someone.  Because a person lies about small stuff doesn't really give any information on the type of person the person is.
12	"I think the part that made me hate the characters as much as I did, was the fact that they literally just got done talking about something and then literally do the exact opposite.  Just that level of flip-flopping really irritates me.  I get it a lot of people have ideals of themselves they don't live up to but literally if you say something and that occasion arises two minutes later, just stick to your word, I mean come on folks."
13	"Becasue they seemed to be hypocrites, although I'm not certain what their discussions were with their friend but we usually present ourselves as being far more honest than we actually are. "
14	I thought they were discussing how they would do those things then they do the opposite.
15	i value my morals very much 
16	I thought they were hypocritical for doing the things that they said were bad.  I also judged their actions based on my personal beliefs. 
17	"I based my evaluations on my judgments of the characters from the stories. My evaluations depend on my own personal experiences and feelings about these things, not so much societal views."
18	Because of their actions.
19	"I based some of my evaluations on my own experiences. For example, I think family is very important. Thus, I didn't like Becky's character too much when she chooses to ignore her mother's calls."
20	"If a person says they have a certain moral value and then they act in a way that contradicts that, then they are hypocritical. "
21	I answered that way because I may or may not do the same things.
22	Everyone has to do jury duty. Just get it done and move forward. /  / Illegal downloading can really hurt music artists. This is not acceptable.
23	becuase anyone who would make a statement and do the totoal opposite be a hippocryte is not very trus worth at all 
24	Because they're hypocrites. Putting down others for the exact same behavior you yourself engage in makes you no better than the people you condemn. 
25	"Most relevant based on the scenarios was how hypocritical the characters were, since personally, other traits don't reflect characters' actions (this is based on the idea that I can't assume anything else about the characters). Even still, characters weren't COMPLETELY hypocritical since scenario mentioned that characters admitted to ""sometimes doing it."" "
26	They said one thing but did the opposite. They did what they said was wrong. 
27	"If someone espouses certain beliefs and then acts contrary to them, that person is a hypocrite. If someone tries to circumvent the law, that person is has immoral tendencies."
28	I felt that both of the subjects did tell the truth to their friends and they are human.  They don't always tell the truth without meaning harm.  I don't think either would hurt a human.  
29	I looked at how they evaluated a specific action and then thought about how that should or should not affect their own action. Based on what they did and said I evaluated them the way I did.
30	I think it's wrong to say one thing and then do another.
31	That is what I think and that is it.
32	I based them off a combination of my own opinions and their actions.
33	i have a close relationship with my mom so I think its disrespectful 
34	I tried to extrapolate their behavior into a general personality.
35	"Becky is a classic hypocrite; she engages in the same minor vices as everyone else, but condemns others for them. However, I do not think there is anything wrong with ignoring a phone call. Nobody has a right to a conversation with you. I appreciate Becky's honesty in this regard, although it does not make up for her hypocrisy. /  / Jack is a similar individual, although I do not think there is anything inherently wrong with wasting paper, provided it is your own. If wasting paper in the names of aesthetics were wrong, the entirety of the arts would have to be shut down."
36	Because that is how I honestly felt based on little information given. 
37	"Because they did what they said they didn't like others to do, hours after discussing it."
38	"I weighted my evaluations on how much they harmed or disregarded all parties involved, including crime victims, employers, the environment and family members. The more self-serving and self-centered they seemed to be the less I liked them, but considered that there may be extenuating circumstances."
39	My own life experiences. I understand there are times you may not want to answer your mothers phone calls. I also can say that I've downloaded music illegally and I believe myself to be reasonable trustworthy and not a bad person. I also use a bit of paper as a designer and I've never had to get out of jury duty but I understand.
40	"These are not major transgressions in the big picture, so I tended to rate them as moderately immoral. There are much worse behaviors people engage in on a daily basis."
41	"How can a child resist downloading their favorite tunes. It would be hard for some, even though they know it wrong same with the paper.  children sometimes ignore their parents  call because they may constantly ask them questions that annoys them."
42	"I tried to look at their actions generally, while allowing for some additional possibilities (i.e. there may have been a legitimate reason why they were doing what they were doing)"
43	"whatever ""bad"" or wasteful behavior they were exhibiting doesn't really speak to whether they are hypocritical, or unlikable, or the other qualties, The dishonesty quality is related, but many of the others are not. So not really enough information for an informed opinion."
44	I read the questions and gave my honest answers on how I felt about them.
45	"I think by discussing it with a friend the characters feel a bit of guilt and and recognize that's why they are discussing it.  I don't think that what any of the characters is over the top immoral, it's not murder or grand theft auto, I have been guilty of a lot of the scenarios.  "
46	They were blatant hippocrits. You can't trust people like that
47	"the downloading music- please the music industry rips off everyone has for years. so i dont care about them.  Jury duty should not be manadory, there should be professional jurors who understand the law. then casey anthony and oj wouldn't have gotten away.not answering your mother call is disrespectful, she get worried you know. wasting paper  just sucks."
48	I evaluated them the way I did based on what they said and then what they did. 
49	"because breaking the law even something like downloading music illegally is breaking the law and should not be tolerated, also if you are ignoring you moms calls when really you are not in somewhere you can't talk you just do not want to stop and talk to her. she could be calling because there is an emergency who knows she may be in trouble. it is not right to do this to your parent who has sacrificed and guided and protected you for ho many year? grow up"
50	I evaluated based on whether or not their behaviors are deemed morally ethical.
51	I thought about how I would feel doing those things.
52	I evaluated them based on their actions and corresponding behavior regarding what their beliefs were
53	"While I don't like the idea of using only one side of a piece of paper, that is not a moral issue to me. To me, morality speaks to a persons virtues such as being hypocritical, kind, or honest."
54	"Regarding the mother's call, we don't know the situation. I ignored my mother's call when I knew she was drunk. As far the other situations, the choices the individuals made do not make them bad people. Thoughtless, lack of judgement but immoral? I saved that terminology for really serious things. "
55	I don't like when people are hipocrytical. It bothers me.
56	Because they made a morality judgement. And then shortly after did the same thing they had just judged to be immoral which demonstrates they are willing to do things they believe are wrong.
57	"Because even though they think it's morally wrong, they still were honest enough to admit that they do it.  Just because you know it's technically wrong to do something, doesn't mean you're a bad person for still doing the wrong thing."
58	"They are not necessarily bad, just not necessarily perfect either.  None of the ""offenses"" listed are very terrible, they just could have made better choices."
59	Based on whether I believed their actions are moral and if they are honest or not.
60	"For both I rated them the way I did because of them telling their friend one way people should do things, and then when it came time for them live by what they said, they end up going back on what was said earlier."
61	Getting out of jury duty and printing a lot of paper isn't as bad as downloading music illegally and ignoring your mom's phone call. 
62	I do not know them so I could not rate how I would like them.  They were both pretty hypocritical and seemed obtuse.
63	because i can be a bit judgemental
64	"There just wasn't enough information to rate the characters. I don't think single ""immoral"" actions really matter, I think the balance is much more important."
65	Becky is a young girl. Since she inst a grown up yet so I don't expect her to act like a grown up. Kevin although lazy and maybe a little selfish isn't necessarily a bad human being.
66	You should'nt complain about certain things and then do those same things yourself.
67	relative importance of their issues.
68	"Jury duty is a pain, and should be done with people who actually enjoy it because they will take more time to come to good decisions.  Downloading illegal music is fine, music is art, and art should never be charged to enjoy.  Especially at the bloated prices music is sold for."
69	i could not make extreme evaluations because i do not know them well 
70	I based it off my personal views and values.
71	Because Becky with the good hair is a current insult.  The actions seem somewhat wrong.
72	"If they went ahead and did exactly what they said people should NOT be doing, I think that is hypocritical and makes them less trustworthy since they are not doing what they say or preach to others."
73	"I feel the jury system is rigged, the RIAA is heavy handed in a civil issue and music is a right as long as it is not mass sold, these are not moral issues. everything else is up to individual situations, liek the printing should ideally be done sparingly in this day and age but is susceptible"
74	I don't think morality exists. 
75	I didn't really think that any of the things they did were that bad and they are things that a lot of people do. They are probably still pretty decent people.
76	"I based it on the fact that they said one thing, yet did another."
77	I put them all kind of in the middle because I would have to know the people in the scenarios better in order to judge their character. It's hard to know what they are really like from just a few instances in their lives. 
78	"To me, each given scenario resulted in hypocritical behavior so that led to other judgments about what type of person I thought they were. "
79	cause i read what they were doing and some i agree with others i dont and i based my decision on my personal feelings about the issue
80	The hypocrisy is more bothersome than their views on ethics.
81	"I think that, even though some of those things they did were wrong, but it does not hurt anyone directly. To me, when something is morally wrong is when they did something that impacts the other person negatively, especially when they know it is wrong. "
82	I evaluated the characters the way I did because they were hypocrites and that right there says that they are not trustworthy and aren't good people.
83	Did they hurt another person
84	I evaluated them as I evaluate the people in my life. Most people do things that are hypocritical and that does not make them untrustworthy or unfriendly. There is not enough information to evaluate these people fully. 
85	The characters went against what they told others and definitely lied to them. I thought it was very hypocritical.
86	I felt that my evaluations accurately described my personal feelings towards the characters.
87	"I really don't like it when people say one thing and then are hypocritical about it. If I often try to get out of jury duty or ignore my mother's calls, I probably will say so truthfully, rather than try to pretend I'm a better person. These people need to own up to their flaws and stop blabbing about stuff they despise when they take those same actions too."
88	I did because it is important that your actions match what you say.
89	Just tried to keep an open mind 
90	It was just my gut reaction and experiences. You need to know more about these people to rate them has good/bad/honest/likeable people etc.
91	I don't know them well enough to make a moral judgment so I stayed neutral.
92	I have a standard of ethics and behaviors that guide my thinking.
93	because of how their opinions were the opposite of their actions.
94	Need more information to sway me either way. 
95	They all seemed like hypocrites. It is hard to trust someone who says one thing and does another. Hard to trust someone when they don't practice what they preach. 
96	"I reward honesty, even if it is the cruel truth that a mother goes unloved by her own offspring."
97	If they do what they say.
98	It seemed right.
99	because they said one thing but did another
100	"I evaluated them based on what they were doing, such as ignoring the phone call, jury duty situation, etc. I then thought about my stance on morality and personally, I don't think what they do is a big deal at all and I would not place any sort of morals on such petty things. "
101	"I believe that if people want to act a certain way, they should just admit it and not lie or be hypocritical.  If you download music, just admit it.  "
102	It was just my feeling about them by what i read.
103	"Because all of them were hypocritical, which is a personality I can not stand. "
104	they lied and did things that were wrong 
