id	reason
1	"Because I really don't know these hypothetical individuals. Other that determining they're behavior in these scenarios was hypocritical, I really can't pass moral judgment on them."
2	"I rated them each negatively for concerning themselves with others problems,"
3	Most of the characters were hypocritical. They would talk about someone behind their back as if that someone was a bad person. Then they would turn around and do the exact same thing they said was morally wrong. 
4	"I felt there was a measure of honesty when they admitted they knew it was wrong, but did it at times. Most people will claim they never do anything wrong, and that is more dishonest to me. Of course I still do not agree with doing anything morally wrong, but it takes heart to admit you are not perfect."
5	"Because I don't like hypocrites, but don't necessarily think they are intentionally bad people.  Not saying I WOULDN'T be friends with people like them, but those would be traits that I would try to overlook so long as they had other good traits to make up for it."
6	there was not enough information about them to evaluate properly
7	Hypocrites get poor score from me.
8	"Because they were all inauthentic, phonies of you will. / Here in the Southern US we say of these people that you cann't trust them as far as you could throw them."
9	Gut feel with no real logic
10	I tried to decide if what the discussion was about influenced the people in any way.
11	I might have been a harsher critic for the people who drove a task of which I had been a victim or experience. 
12	I evaluated them on their behaviors and decisions. 
13	I feel very strongly about many of those topics. I think that talking negatively about another person about something that they do and then turning around and doing that exact thing is ridiculous.
14	I evaluated them on what they said and then their actions that occurred after the conversation.
15	"I evaluated based on how their actions affect other people.  I don't think its fair to complain about something when you do the same thing, but sometimes, such as ignoring your mother's calls sometimes, may happen once in a while.  However, if you are a treehugger and if this is a passion of yours, why talk about someone using so much paper and ink when you are doing the same thing?"
16	By scenario. Avoiding a phone call isn't as bad as avoiding jury duty.
17	because doesn't sound like any big problem
18	"Some moral questions are situational. For instance, downloading music illegally is always wrong; there's no excused for it. But ignoring your mother's calls can be situational. He could be busy or expecting another call or maybe she calls 5 times a day. "
19	Based on my own beliefs and how big a lie.
20	I put myself in their shoes
21	"They were honest about who they were but they were doing what's bad in social terms. Still, there could be good reason for doing what they did."
22	Because I put myself in their shoes and thought what I would feel if I were them.
23	i was  think of my self 
24	"Well, people often judge other people for things that they themselves do because it makes people feel good to think that they are wiser/better than others because they know what's right and wrong. Unfortunately, people still don't do what's right even if they know it's not really right. Especially if it's a close judgement call on something that's not really too bad. It's not really THAT bad to not take your mom's call, or to use paper 1 sided or to try to skip out on jury duty. And, in fact, sometimes there's really good reasons for doing so."
25	"they were hypocritical and attempted to make themselves sound better than their acquaintances.  If a person believes it is immoral or morally wrong to do something, then they shouldn't do it.  If that's not how they feel, they shouldn't lie about what they believe.  All of them have made statements judging others' morality without being moral themselves."
26	I evaluated them by thinking about what I would do.
27	I think the questions are flawed. if it were the subject addressed in the questions making the comments about each situation then going and doing the actions I would tend to think of them as less trustworthy and more hypocritical. 
28	I evaluated the characters to see if what they did in those instances is what I would do and how I felt about their decisions. 
29	Personal philosophy.
30	"Regardless of the action in question, anyone who judges another person negatively and then engages in the same action is rather hypocritical and a bit dishonest. I don't think this necessarily makes them a bad person, yet not a good person either."
31	"It depended on how wrong I thought their action was.  However, since they all admitted to doing it, I didn't think they were that hypocritical.  It would have been worse if they claimed to be morally pure and then did the morally wrong action."
32	"Sometimes you just don't want to talk to your mother! I know what that's like. Printing single-sided - uses too many resources, but sometimes necessary (tax forms, manuscripts). Getting out of jury duty - always wrong! It's an obligation! Downloading music from the internet - meh. But it was hard to judge a person's character just by those scenarios."
33	"Each one made a statement about what is morally wrong; not necessarily where they stand on the issue. / But then, each one went and did exactly what they had stated was morally wrong, so they KNEW what was morally right, and did not  do it."
34	I don't know
35	some scenarios have an impact that is more relevant to me than others.  Ignoring a phone call is not so bad and it's not a crime.  downloading music is a crime.
36	My evaluation of characters depends upon my way of actions just like illegally downloading music from the Internet. I don't think that's wrong at all because almost everybody anyway downloads music from the Internet in illegal way.
37	some things are worse then others.
38	I evaluated the characters the same way as I evaluate anything else.  I go by what is right and what is wrong.  
39	In general I didn't really think these small events were enough to strongly evaluate them thus the central responses
40	There was insufficient information to determine whether or not thet were good people or whether or not I liked them.  You can't know someone from one incident. 
