id	reason
1	"Tried to balance or qualify the facts and hearsay each story provided. To some extent, it seemed I was forced to accept as wholly true what another heard of a mutual acquaintance as true. The best available option in answering questions was one which remained after the others were easily dismissed for things such as stating the subject was a member of the same organization, when, according to the story, it wasn't necessarily the same organization."
2	
3	"I read carefully, and the only thing I have to go by is tyhe opionoin of others, so thats what I had to base judgements"
4	I based my judgements on what little knowledge I was given of the people. There is a 50/50 chance they can be good or bad. I can't say for sure until they prove to me good or bad.
5	I tried to judge the odds that a person I didn't know would perform the immoral action considering they weren't related to the person who did the immoral action in the story. 
6	
7	
8	"Based on the context and what was at stake-- I feel like matters of business/work are more measurable/tangible via peer discussion / group speak than other, more subjective/social matters. "
9	gut reaction
10	
11	"Just based on the morality of it all. If they do something horrible, I acted as such, but they were all noble."
12	
13	All the situations were very similar but for some reason I didn't trust the people as much in some situation as I did the others.
14	
15	I imagined myself in the scenarios and used my personal experiences to form my opinions.
16	"I made my judgments based upon how strongly I felt about the situations and how I felt about the gossip factor of the information with which I was presented. For example, I don't generally engage in gossiping, but if I found out important information about someone through a piece of gossip, then I wouldn't disregard it. However, I would also keep in mind the person who shared the information and whether or not they had a personal vendetta against the person being gossiped about."
17	All the characters I was asked to make judgements about had little to do with the stories presented. I could not make any sort of reliable judgement about them.
18	based on their disapproval 
19	I based my judgments on their reputations as heard from others
20	
21	I based it on the things I was told about each person.
22	"Based on the fact that both of the people on my team demonstrated (vouched for or showed disapproval for poor behavior) similarly held beliefs to my own, I would pretty much trust them equally. But since my knowledge about them is limited, I can't give them the highest or the lowest marks. "
23	I took the information I was given at face value and made judgments with the assumption that the facts in the stories were true.
24	"I made my judgements based on whether I found the decision, that the member of my group made, ethical. "
25	Based upon previous behaviors of the example people.
26	"I based my judgements on the person's reaction, and how subjective or objective that reaction was.  For example, there was no disapproval of failing to meet the business deadline; it was simply a stated fact.  However, there was great disapproval stated with regard to cheating in a relationship; likely a projection of self-imposed beliefs. "
27	
28	I read them and answered truthfully.
29	"I felt like I didn't know enough about the person, so I just made a neutral judgement."
30	
31	I thought I didn't know enough about the people and generally put them about middle
32	
33	"The scenarios were generally the same but some issues are more objective (cheating in sports, tests) than others. Relationships and work are fairly private and life changing, so people should be more careful gossiping about thsoe topics."
34	"Having limited options in the answer categories, I felt forced to make the leap between having heard somebody had done something to having accepted they had done it as fact. The other available options would completely dissociate the person with the action so I picked the one that was closest to what I would have actually thought, even though the likelihood that the gossip was true was small. "
35	I made my judgments based on the statements and feelings expressed by the characters in the various scenarios.
36	"Whilst each scenario basically described the same situation, the context conjured up distinct stereotypical images in my mind of what the people being described were like, ans so I based my ratings on the gut feelings I had about the stereotypes I was holding in my mind. I found that I naturally had different assumptions about a walker as against a business partner, for example."
37	"In each scenario, I didn't know enough about any character to make any sort of decision really.  I answered them all down the middle.  Each scenario involved a lack of direct knowledge and hearsay.  "
38	"I didn't know much at all about the people I was asked trust-related questions about, so I felt very neutral."
39	I based my judgments on the previous information I was given about each of the people.
40	"I was taking into account the situation, if it was work or a social setting. The fact that I don't trust people too much also had to do with my answers."
41	
42	"Imagining myself in the position, having the conversations, and evaluating the contexts of the judgments. Plus a good helping of gut instinct based on human nature."
43	"For the most part, I based them upon my own experiences with people. I think people are generally trustworthy, and I give strangers a small amount of trust when I meet them, in order to facilitate more healthy interpersonal relationships. I judged the likeliness of people to make dishonest decisions upon my personal perceptions of the situations."
44	I made my judgements based on the context it was taken. I made decisions depending on how morally wrong I thought the topics were.
